"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"DuPont Inc","DD.MX","MX","850.00","-","-","--","--","850.00","777.12","850.00","850.00","+0.00","+0.00%","-","30.04.2020","17/03","213,340","","1,348","-","-","-","-","-","Venta fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-4.66%","-29.34%","-40.96%","-43.37%"
"Diageo PLC ADR","DEON.MX","MX","2,863.00","2,904.00","2,992.00","--","--","2,873.80","2,914.84","2,873.80","2,863.00","-51.84","-1.78%","488","30.07.2020","13:11:01","1.71T","","1,241","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Venta fuerte","Venta","-1.78%","16.29%","-0.87%","-8.53%","-7.63%","30.66%"
"AstraZeneca PLC ADR","AZNN.MX","MX","1,008.01","-","-","--","--","1,001.00","991.00","1,008.01","1,001.00","+0.00","+0.00%","-","29.04.2020","24/03","2.60T","536,450,000","543","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","6.48%","16.50%","6.58%","23.68%","72.13%"
"Bed Bath & Beyond Inc","BBBY.MX","MX","194.75","180.00","253.00","--","--","194.75","191.10","194.75","194.75","+0.00","+0.00%","-","15.04.2020","05/03","13,750,000,000","","626","-","-","-","-","-","Neutral","Venta","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-7.57%","-42.72%","-40.44%","-72.89%"
"Telefonaktiebolaget LM Ericsson B ADR","ERICN.MX","MX","163.96","-","-","--","--","167.00","163.96","167.00","163.96","0.00","0.00%","14","22.04.2020","12:55:05","576,680,000,000","","1,962","-","-","-","-","-","Venta","Venta","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","3.12%","2.35%","-2.01%","13.62%","31.27%"
"Mondelez International Inc","MDLZ.MX","MX","1,130.00","1,120.00","1,152.00","--","--","1,130.00","1,083.00","1,130.00","1,130.00","+47.00","+4.34%","183","05.05.2020","13:10:59","1.62T","569,100,000","199","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","4.34%","4.34%","1.76%","8.29%","18.32%","37.30%"
"Arconic Inc","ARNC.MX","MX","374.00","-","-","--","--","374.00","507.80","374.00","374.00","0.00","0.00%","-","05.05.2020","24/03","170,810,000,000","312,220,000","2,601","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-26.35%","-40.63%","-37.23%","4.18%","-24.73%"
"Sare Holding B","SAREB.MX","MX","0.0090","0.0090","0.0100","--","--","0.0110","0.0110","0.0120","0.0090","0.00","0.00%","-","24.04.2020","04/02","61,310,000","63,310,000","27,842,188","-0.01","-","0.49","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-66.67%","-90.98%"
"Rassini SAB de CV Class A","RASSINIA.MX","MX","41.500","-","-","--","--","41.500","40.700","41.500","41.500","+0.00","+0.00%","-","23.04.2020","04/02","13,250,000,000","14,900,000,000","500","7.92","10.41","0.24","-","2.86%","","","","","","","","","0.00%","0.00%","0.00%","0.00%","18.98%","4.14%"
"Procorp SA B","PROCORPB.MX","MX","9.000","-","-","--","--","9.000","9.000","9.000","9.000","0.00","0.00%","-","--","24/03","449,550,000","435,580,000","312,104","-0.18","-","0.02","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pochteca B","POCHTECB.MX","MX","6.500","6.110","6.500","--","--","6.500","6.500","6.500","6.500","0.00","0.00%","-","23.04.2020","23/03","774,280,000","11,090,000,000","33,860","-0.2","-","0.07","-","-","Venta","Venta","Neutral","Neutral","Venta fuerte","Venta fuerte","Neutral","Venta","0.00%","0.00%","-1.22%","9.24%","6.56%","-15.69%"
"Minsa B","MINSAB.MX","MX","13.000","-","-","--","--","13.000","13.000","13.000","13.000","0.00","0.00%","-","--","11/03","5,330,000,000","4,840,000,000","237","0.15","85.81","-","2.8","21.54%","Neutral","Compra","Compra","Neutral","Neutral","Neutral","Neutral","Neutral","0.00%","0.00%","0.00%","0.00%","-3.70%","-5.45%"
"Mexicana Rest B","CMRB.MX","MX","3.100","3.000","3.040","--","--","3.100","3.100","3.100","3.100","0.00","0.00%","-","03.06.2020","25/03","774,570,000","2,810,000,000","1,322","-0.49","-","0.31","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-10.66%","-10.66%","-10.92%","-29.22%","-62.06%"
"McEwen Mining Inc","MUX.MX","MX","14.200","-","-","--","--","15.000","16.000","15.000","14.000","0.00","0.00%","-","30.04.2020","13/03","6,970,000,000","","459","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-36.09%","-38.26%","-58.96%","-75.52%"
"Kimberly-Clark de Mexico B","KIMBERB.MX","MX","37.900","35.630","39.340","--","--","37.900","37.125","37.900","37.900","+0.00","+0.00%","-","23.04.2020","04/02","116,920,000,000","43,500,000,000","107","1.67","19.03","0.59","1.55","4.87%","","","","","","","","","0.00%","-0.00%","-0.00%","2.09%","0.69%","9.82%"
"Invex Control A","INVEXA.MX","MX","75.000","-","-","--","--","75.000","75.000","75.000","75.000","+0.00","+0.00%","-","--","25/03","12,230,000,000","6,960,000,000","537","4.93","15.21","0.01","0.34","0.45%","Neutral","Neutral","Neutral","Neutral","Compra","Compra","Compra","Compra fuerte","0.00%","0.00%","0.00%","5.63%","7.14%","40.85%"
"IDEAL B1","IDEALB1.MX","MX","40.000","40.000","43.870","--","--","40.000","40.000","40.000","40.000","0.000","0.00%","9,520","03.06.2020","11:48:22","120,010,000,000","25,520,000,000","186,701","0.42","94.84","0.16","-","-","Neutral","Neutral","Neutral","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-0.02%","0.00%","0.00%","16.96%","33.24%"
"Himexsa SAB de CV","HIMEXSAA.MX","MX","0.259","0.250","0.260","--","--","0.259","0.250","0.259","0.259","+0.00","+0.00%","-","--","04/02","36,110,000","11,840,000","22,402","-0.25","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.38%"
"Fragua B","FRAGUAB.MX","MX","235.00","225.60","235.00","--","--","235.00","235.00","235.00","235.00","0.00","0.00%","-","03.06.2020","19/03","22,890,000,000","61,880,000,000","16,040","17.48","13.44","0.07","2.9","1.23%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta","Neutral","Venta fuerte","0.00%","0.00%","-2.08%","-4.08%","-9.62%","4.44%"
"Financiera Independencia","FINDEP.MX","MX","8.900","-","-","--","--","8.900","8.900","8.900","8.900","0.00","0.00%","-","16.04.2020","19/03","3,000,000,000","7,570,000,000","34,641","0.96","9.27","0.26","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta","Compra","Compra fuerte","0.00%","0.00%","0.00%","4.71%","123.62%","169.70%"
"Edoardos Martin B","EDOARDOB.MX","MX","0.456","-","-","--","--","0.456","0.470","0.456","0.456","0.00","0.00%","-","--","04/02","65,540,000","","806","-0.54","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%"
"Dine B","DINEB.MX","MX","8.500","-","-","--","--","9.000","9.200","9.000","8.500","-0.700","-7.61%","5,000","04.05.2020","10:15:49","5,400,000,000","2,590,000,000","840","0.13","68.16","0.72","0.16","2.39%","Venta fuerte","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-7.61%","-7.61%","-21.37%","-24.44%","-16.67%","-16.67%"
"Dine A","DINEA.MX","MX","8.700","-","-","--","--","8.700","9.500","8.700","8.700","-0.800","-8.42%","100","04.05.2020","10:49:24","5,530,000,000","2,590,000,000","702","0.13","68.16","0.72","0.16","2.39%","Venta","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-8.42%","-8.42%","-19.52%","-25.00%","-20.91%","-17.14%"
"Cydsa A","CYDSASAA.MX","MX","22.400","21.150","22.400","--","--","22.400","22.500","22.400","22.400","0.00","0.00%","-","29.04.2020","23/03","12,580,000,000","10,510,000,000","71,164","2.23","10.06","0.49","0.7","3.13%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.44%","-5.92%","-13.85%","-18.55%","-1.97%"
"G Collado SAB de CV","COLLADO.MX","MX","8.450","-","-","--","--","8.450","8.500","8.450","8.450","0.00","0.00%","-","03.06.2020","04/02","1,630,000,000","8,980,000,000","585","0.11","77.33","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","-0.59%","-3.54%","8.33%"
"Banco Santander Brasil SA ADR","BSBRN.MX","MX","216.00","-","-","--","--","217.60","217.60","217.60","216.00","0.00","0.00%","-","28.04.2020","04/02","951,010,000,000","1,160,000,000","9,200","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.00%","-2.09%"
"Grupo Financiero Multiva","GFMULTIO.MX","MX","12.900","-","-","--","--","12.900","12.900","12.900","12.900","+0.00","+0.00%","-","--","24/03","8,660,000,000","6,830,000,000","33,927","0.42","31.06","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Compra","Compra","0.00%","0.00%","-0.77%","-0.77%","-0.77%","53.57%"
"Ecopetrol SA ADR","ECN.MX","MX","225.00","-","-","--","--","225.00","382.11","225.00","225.00","-157.11","-41.12%","67","29.04.2020","12:28:49","442,700,000,000","1,558,630,000,000","579","-","-","-","-","-","Neutral","Compra fuerte","Compra fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-41.12%","-41.12%","-41.12%","-43.77%","-43.77%","36.78%"
"Ultrapar Participacoes SA ADR","UGPN.MX","MX","115.62","-","-","--","--","116.00","116.78","116.00","115.58","0.00","0.00%","-","13.05.2020","04/02","65,550,000,000","1,960,000,000","19,510","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","0.91%","-46.15%"
"TIM Participacoes SA","TSUN.MX","MX","303.62","-","-","--","--","303.62","369.11","303.62","303.62","0.00","0.00%","-","12.05.2020","12/03","143,080,000,000","382,300,000","6,671","-","-","-","-","-","Venta fuerte","Venta","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta","Venta","0.00%","0.00%","-17.74%","-17.08%","-4.43%","1.21%"
"Companhia Brasileira de Distribuicao","CBDN.MX","MX","419.30","-","-","--","--","419.30","391.50","419.30","419.30","+0.00","+0.00%","-","06.05.2020","04/02","86,630,000,000","1,250,000,000","900","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","7.10%","-15.84%","14.72%"
"Itau Unibanco Banco Holding SA","ITUBN.MX","MX","115.11","-","-","--","--","116.00","116.00","116.00","115.11","0.00","0.00%","-","05.05.2020","17/03","1.02T","2,200,000,000","29,134","-","-","-","-","-","Compra","Neutral","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-16.06%","-33.46%","-37.71%","-50.17%"
"Gol Linhas Aereas Inteligentes SA ADR","GOLN.MX","MX","295.50","-","-","--","--","295.50","316.82","295.50","295.50","0.00","0.00%","-","06.05.2020","04/02","20,500,000,000","305,020,000","1,047","-","-","-","-","-","Neutral","Compra","Venta fuerte","Venta fuerte","Venta","Venta","Venta fuerte","","0.00%","0.00%","0.00%","-12.31%","-5.59%","54.46%"
"Gafisa SA ADR","GFAN.MX","MX","89.546","-","-","--","--","89.546","133.600","89.546","89.546","0.00","0.00%","-","26.03.2020","04/02","-","10,500,000","267","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.00%","-69.82%"
"Embraer SA ADR","ERJN.MX","MX","267.83","-","-","--","--","267.83","288.11","267.83","267.83","0.00","0.00%","-","26.03.2020","11/03","31,080,000,000","328,220,000","3,587","-","-","-","-","-","Venta","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-18.32%","-24.19%","-25.19%","-36.56%"
"Companhia Paranaense de Energia COPEL","ELPN.MX","MX","235.00","-","-","--","--","235.00","259.25","235.00","235.00","+0.00","+0.00%","-","11.05.2020","19/03","63,640,000,000","357,010,000","50","-","-","-","-","-","Neutral","Compra fuerte","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","-9.35%","-9.35%","32.14%","9.00%"
"CEMIG - Companhia Energetica Minas Gerais ADR","CIGN.MX","MX","67.970","-","-","--","--","67.970","71.350","67.970","67.970","+0.00","+0.00%","-","13.05.2020","05/02","60,390,000,000","558,590,000","4,900","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-0.00%","-0.00%","-4.74%","-8.02%","14.70%"
"Braskem SA Class A","BAKN.MX","MX","395.50","-","-","--","--","407.00","470.40","407.00","395.50","0.00","0.00%","-","30.03.2020","04/02","58,530,000,000","1,480,000,000","6,803","-","-","-","-","-","","","","","","","","","0.00%","52.08%","52.08%","52.08%","-29.41%","3.93%"
"BRF SA","BRFSN.MX","MX","73.44","-","-","--","--","73.44","92.88","73.44","73.44","0.00","0.00%","-","11.05.2020","12/03","56,040,000,000","","31,223","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-40.05%","-54.71%","-34.58%","-68.40%"
"Banco Bradesco SA ADR","BBDN.MX","MX","118.50","-","-","--","--","118.50","117.56","118.50","118.50","+0.00","+0.00%","-","30.04.2020","10/03","765,530,000,000","","19,064","-","-","-","-","-","Neutral","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-10.95%","-28.18%","-37.69%","-38.60%"
"Vale SA ADR","VALEN.MX","MX","185.20","-","-","--","--","185.20","170.00","185.20","185.20","+0.00","+0.00%","-","28.04.2020","24/03","970,280,000,000","","3,152","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","8.94%","-6.46%","-27.08%","-24.41%","7.05%"
"Fresnillo PLC","FRES.MX","MX","205.57","-","-","--","--","205.57","178.86","205.57","205.57","+26.71","+14.93%","5,348","28.07.2020","12:43:11","155,430,000,000","68,380,000","105,269","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Venta","14.93%","14.93%","14.93%","28.75%","-1.10%","-45.18%"
"Empresas ICA SAB De CV","ICA.MX","MX","1.480","-","-","--","--","1.520","1.510","1.520","1.470","0.00","0.00%","-","28.05.2020","04/02","1,060,000,000","","1,023,782","-10.38","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-9.20%"
"China Life Insurance Company","LFCN.MX","MX","215.19","-","-","--","--","215.19","268.00","215.19","215.19","0.00","0.00%","-","23.04.2020","20/03","2.50T","21,300,000,000","42,358","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-19.71%","-16.37%","-17.33%","-27.37%"
"PetroChina Co Ltd ADR","PTRN.MX","MX","930.87","-","-","--","--","930.87","1,031.01","930.87","930.87","0.00","0.00%","-","27.04.2020","04/02","2.86T","95,290,000,000","764","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-25.47%","-34.19%"
"China Unicom Hong Kong Ltd","CHUN.MX","MX","165.78","-","-","--","--","165.78","172.93","165.78","165.78","0.00","0.00%","-","21.04.2020","04/02","538,380,000,000","","79","-","-","-","-","-","Neutral","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","0.00%","-4.13%","-32.72%","-32.61%"
"China Petroleum & Chemical Corp ADR","SNPN.MX","MX","1,129.00","-","-","--","--","1,129.00","1,048.00","1,129.00","1,129.00","+0.00","+0.00%","-","27.03.2020","24/03","1.79T","67,130,000,000","2,937","-","-","-","-","-","Neutral","Neutral","Compra fuerte","Compra fuerte","Compra","Neutral","Neutral","Venta fuerte","0.00%","7.73%","10.78%","-0.70%","-27.44%","-24.45%"
"Oi SA ADR Pref","OIBRQN.MX","MX","20.750","-","-","--","--","20.750","19.880","20.750","20.750","+0.00","+0.00%","-","27.03.2020","04/02","14,600,000,000","443,000,000","20,024","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"ENI SpA ADR","EN.MX","MX","363.89","-","-","--","--","363.89","347.00","363.89","363.89","+0.00","+0.00%","-","24.04.2020","19/03","768,850,000,000","","5,747","-","-","-","-","-","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-30.29%","-35.71%","-45.78%","-40.93%"
"Tenaris SA","TS.MX","MX","134.99","-","-","--","--","134.99","220.00","134.99","134.99","-85.01","-38.64%","10,811","29.04.2020","12:58:58","169,910,000,000","","5,000","-","-","-","-","-","","","","","","","","","-38.64%","-38.64%","-38.64%","-33.89%","-46.34%","-59.08%"
"SAP AG ADR","SAPN.MX","MX","2,567.00","2,580.00","2,640.00","--","--","2,567.00","2,600.00","2,567.00","2,567.00","-33.00","-1.27%","775","21.04.2020","13:10:59","3.10T","","1,345","-","-","-","-","-","Neutral","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","-1.27%","7.86%","4.42%","1.27%","18.84%","37.65%"
"Telefonica SA ADR","TEFN.MX","MX","115.99","-","-","--","--","115.99","110.95","115.99","115.99","+0.00","+0.00%","-","07.05.2020","20/03","548,800,000,000","1,070,000,000","12,211","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","0.00%","0.00%","-4.06%","-14.71%","-28.50%","-45.68%"
"Orange SA ADR","ORANN.MX","MX","294.65","-","-","--","--","294.65","300.81","294.65","294.65","0.00","0.00%","-","30.04.2020","04/02","753,020,000,000","","5,500","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-5.11%","-0.31%"
"ABB Ltd","ABBN.MX","MX","460.50","-","-","--","--","460.81","450.00","460.81","460.50","+0.00","+0.00%","-","28.04.2020","11/02","923,920,000,000","","5,540","-","-","-","-","-","Neutral","Compra","Compra","Neutral","Neutral","Compra fuerte","Neutral","Compra fuerte","0.00%","0.00%","0.00%","27.12%","27.92%","6.97%"
"Credit Suisse Group","CSN.MX","MX","216.63","-","-","--","--","216.63","258.00","216.63","216.63","0.00","0.00%","-","23.04.2020","28/02","488,470,000,000","","2,734","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-0.00%","-14.52%","-2.39%","-21.86%"
"Telecom Italia SPA","TIN.MX","MX","162.05","-","-","--","--","162.05","164.30","162.05","162.05","0.00","0.00%","-","13.05.2020","04/02","197,610,000,000","13,970,000,000","2,880","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.49%"
"Allergan PLC","AGNN.MX","MX","3,837.00","-","-","--","--","3,837.00","3,780.00","3,837.00","3,837.00","+0.00","+0.00%","-","12.05.2020","05/03","1.35T","","329","-0.14","-","2.78","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","3.81%","6.55%","34.96%","-15.22%"
"ArcelorMittal SA ADR","MTN.MX","MX","213.010","213.010","217.990","--","--","213.000","223.990","213.010","213.000","-10.980","-4.90%","96,019","07.05.2020","13:10:55","219,240,000,000","","12,127","-","-","-","-","-","Compra fuerte","Neutral","Venta","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","-4.90%","24.31%","-37.17%","-36.41%","-45.73%","-55.40%"
"Xilinx Inc","XLNX.MX","MX","1,772.08","1,764.00","1,806.00","--","--","1,772.08","1,807.00","1,772.08","1,772.08","-34.92","-1.93%","1,350","22.04.2020","13:10:51","447,280,000,000","","556","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Compra","Compra","Neutral","-1.93%","-1.55%","5.29%","-5.72%","-27.88%","54.06%"
"Booking Holdings Inc","BKNG.MX","MX","32,950.32","32,950.32","34,485.00","--","--","32,950.32","32,000.00","32,950.32","32,950.32","+0.00","+0.00%","-","07.05.2020","26/03","1.25T","","140","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Neutral","Venta fuerte","Venta fuerte","0.00%","9.11%","-0.09%","-14.70%","-2.57%","-1.55%"
"Oracle Corporation","ORCL.MX","MX","1,169.99","1,170.01","1,190.00","--","--","1,176.01","1,159.99","1,176.01","1,169.99","+10.00","+0.86%","52","17.06.2020","13:11:00","3.72T","","1,934","-","-","-","-","-","Neutral","Venta","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.86%","6.36%","20.12%","17.00%","14.93%","38.28%"
"Transocean Ltd","RIGN.MX","MX","30.00","26.00","35.00","--","--","32.00","31.50","32.00","30.00","-1.50","-4.76%","164","29.04.2020","11:56:34","16,780,000,000","","6,720","-","-","-","-","-","Neutral","Venta fuerte","Neutral","Venta fuerte","Venta","Venta fuerte","Venta fuerte","Venta fuerte","-4.76%","13.81%","-49.75%","-73.68%","-82.19%","-87.17%"
"Adidas AG","ADSN.MX","MX","5,420.00","-","-","--","--","5,176.67","5,620.00","5,420.00","5,176.67","-200.00","-3.56%","1,188","08.05.2020","11:31:43","1.06T","520,080,000","4,607","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Neutral","Compra","-3.56%","22.14%","-9.90%","-11.17%","21.22%","68.58%"
"Accenture plc","ACNN.MX","MX","3,775.000","-","-","--","--","3,775.000","3,978.950","3,775.000","3,775.000","0.000","0.00%","-","25.06.2020","26/03","2.54T","","323","-","-","-","-","-","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-5.13%","-5.55%","-3.70%","17.18%","55.77%"
"General Dynamics Corporation","GD.MX","MX","3,070.80","3,036.00","3,105.00","--","--","3,060.00","3,000.00","3,070.80","3,060.00","+70.80","+2.36%","126","22.04.2020","13:10:58","882,840,000,000","","1,643","-","-","-","-","-","Compra","Compra","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","2.36%","4.13%","-8.33%","-9.29%","-5.88%","-13.68%"
"Twilio Inc","TWLO.MX","MX","2,262.000","2,214.010","2,285.990","--","--","2,298.500","2,358.000","2,298.500","2,262.000","-96.000","-4.07%","122","05.05.2020","13:10:55","318,430,000,000","","2,208","-","-","-","-","-","Venta","Venta fuerte","Neutral","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","-4.07%","8.07%","3.54%","22.08%","-7.26%","309.56%"
"Nucor Corp","NUE.MX","MX","767.00","762.00","780.00","--","--","767.00","778.15","767.00","767.00","-11.15","-1.43%","6,500","16.04.2020","13:11:00","234,830,000,000","","6,123","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","-1.43%","2.27%","-16.41%","-27.82%","-31.14%","-32.55%"
"Fiserv Inc","FISV.MX","MX","2,240.000","2,193.000","2,261.000","--","--","2,219.570","2,240.000","2,240.000","2,219.570","0.000","0.00%","1,005","05.05.2020","13:11:02","1.52T","","1,007","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","10.07%","-2.10%","1.44%","32.20%","2.75%"
"Emerson Electric Company","EMR.MX","MX","1,100.00","-","-","--","--","1,100.00","1,085.50","1,100.00","1,100.00","+0.00","+0.00%","-","05.05.2020","26/03","657,090,000,000","","136","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","1.34%","-23.66%","-23.66%","-15.68%","-0.37%"
"Samsung Electronics Co Ltd DRC","SMSNN.MX","MX","22,610.30","20,000.00","24,850.00","--","--","22,610.30","23,843.58","22,610.30","22,610.30","0.00","0.00%","-","23.04.2020","07:49:08","6.32T","","388","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Venta","Neutral","Compra fuerte","Compra fuerte","0.00%","5.26%","2.48%","-0.04%","18.61%","30.11%"
"Rio Tinto ADR","RION.MX","MX","1,075.00","-","-","--","--","1,075.00","1,075.00","1,075.00","1,075.00","+0.00","+0.00%","-","16.04.2020","26/03","1.65T","","2,830","-","-","-","-","-","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","13.76%","15.59%","-4.42%","-4.37%","41.45%"
"IPG Photonics Corporation","IPGP.MX","MX","2,670.000","-","-","--","--","2,711.000","2,753.000","2,711.000","2,670.000","0.000","0.00%","-","05.05.2020","26/03","135,450,000,000","","50","-","-","-","-","-","Neutral","Compra","Compra fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-3.01%","-3.01%","-3.01%","-3.02%","23.33%"
"Devon Energy Corporation","DVN.MX","MX","175.00","-","-","--","--","175.00","175.00","175.00","175.00","+0.00","+0.00%","-","05.05.2020","26/03","56,740,000,000","","5,650","-","-","-","-","-","Venta fuerte","Venta fuerte","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","13.33%","-45.14%","-62.66%","-69.83%","-76.67%"
"Finamex O","FINAMEXO.MX","MX","35.000","-","-","--","--","35.000","35.000","35.000","35.000","0.000","0.00%","100","--","09:49:20","2,220,000,000","6,780,000,000","222","-2.12","-","-","2.21","1.58%","Neutral","Neutral","Neutral","Venta","Neutral","Neutral","Venta","Venta","0.00%","0.00%","0.00%","0.00%","-12.72%","-20.45%"
"Nestlé SA","NESNN.MX","MX","2,350.00","-","-","--","--","2,373.88","2,373.88","2,373.88","2,350.00","0.00","0.00%","-","24.04.2020","26/03","6.86T","","2,312","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-1.01%","15.82%","14.63%","28.82%","58.97%"
