"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"Union Pacific Corporation","UNP.MX","MX","3,176.88","-","-","--","--","3,176.88","2,750.00","3,176.88","3,176.88","+0.00","+0.00%","-","16.04.2020","24/03","2.28T","","538","-","-","-","-","-","Compra fuerte","Compra fuerte","Neutral","Neutral","Neutral","Neutral","Neutral","Compra fuerte","0.00%","15.52%","2.46%","-5.34%","2.81%","59.88%"
"Swatch Group I","UHRN.MX","MX","4,875.09","-","-","--","--","4,875.09","3,914.09","4,875.09","4,875.09","+0.00","+0.00%","-","06.05.2020","24/03","45,990,000,000","","3,858","-","-","-","-","-","Compra","Compra fuerte","Neutral","Venta","Venta","Venta","Venta","Venta fuerte","0.00%","24.55%","7.68%","-6.36%","-10.40%","-27.44%"
"Trinity Industries Inc","TRN.MX","MX","427.80","-","-","--","--","427.80","389.25","427.80","427.80","+0.00","+0.00%","-","22.04.2020","20/02","45,680,000,000","","1,940","-","-","-","-","-","Compra","Compra","Compra","Compra fuerte","Compra fuerte","Neutral","Compra","Neutral","0.00%","0.00%","0.00%","5.05%","-2.33%","-12.23%"
"TJX Companies Inc","TJX.MX","MX","1,101.15","-","-","--","--","1,101.15","1,108.00","1,101.15","1,101.15","-6.85","-0.62%","1,130","19.05.2020","09:06:41","1.33T","","1,115","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","-0.62%","-0.62%","-10.26%","-5.19%","7.83%","-23.80%"
"TE Connectivity Ltd","TELN.MX","MX","1,821.50","-","-","--","--","1,821.50","1,740.20","1,821.50","1,821.50","+0.00","+0.00%","-","22.04.2020","04/02","492,950,000,000","","260","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","18.28%","30.11%"
"Spectris PLC","SXSN.MX","MX","658.93","-","-","--","--","658.93","712.35","658.93","658.93","0.00","0.00%","-","04.08.2020","24/03","76,890,000,000","","5,096","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-7.50%","-7.50%","-7.49%","-3.85%","11.50%"
"Stabilus","STAN.MX","MX","844.30","-","-","--","--","844.30","869.08","844.30","844.30","-24.78","-2.85%","2,345","04.05.2020","09:23:40","20,900,000,000","","1,226","-","-","-","-","-","Neutral","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-2.85%","-29.31%","-29.31%","-32.14%","-19.29%","-23.04%"
"Swiss Re AG","SRENN.MX","MX","2,100.32","-","-","--","--","2,100.32","1,742.80","2,100.32","2,100.32","+0.00","+0.00%","-","30.04.2020","04/02","497,780,000,000","","11,900","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","20.51%","20.51%","17.13%"
"Sempra Energy","SRE.MX","MX","2,759.18","-","-","--","--","2,759.18","2,881.53","2,759.18","2,759.18","0.00","0.00%","-","12.05.2020","06/03","840,950,000,000","","1,448","-","-","-","-","-","Neutral","Neutral","Venta","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","-4.25%","-4.55%","30.21%","36.12%"
"SINA Corp","SINAN.MX","MX","748.44","700.27","748.44","--","--","748.44","700.27","748.44","748.44","+0.00","+0.00%","-","13.05.2020","23/03","51,610,000,000","","5,625","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Neutral","Venta fuerte","0.00%","6.88%","15.14%","5.86%","-32.97%","-45.84%"
"Southern Copper Corporation","SCCO.MX","MX","678.00","-","-","--","--","686.00","666.00","686.00","678.00","+0.00","+0.00%","-","22.04.2020","03/03","488,490,000,000","","214","-","-","-","-","-","Venta","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","1.80%","-15.54%","-3.93%","0.65%"
"J Sainsbury PLC","SBRYN.MX","MX","61.550","-","-","--","--","61.550","48.940","61.550","61.550","+0.00","+0.00%","-","30.04.2020","19/03","134,720,000,000","","50,000","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Compra fuerte","Neutral","0.00%","0.00%","25.77%","30.15%","-22.02%","4.94%"
"Sprint Corp","S.MX","MX","202.00","-","-","--","--","202.00","196.50","202.00","202.00","+0.00","+0.00%","-","29.04.2020","25/03","803,570,000,000","","2,340","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","2.80%","12.85%","100.00%","74.14%","24.69%"
"RH","RH.MX","MX","2,694.00","-","-","--","--","2,693.45","2,517.50","2,694.00","2,693.45","+0.00","+0.00%","-","27.03.2020","25/03","49,650,000,000","58,370,000","234","-","-","-","-","-","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","0.00%","7.01%","-40.00%","-42.17%","6.06%","325.40%"
"PulteGroup Inc","PHM.MX","MX","493.30","-","-","--","--","493.30","828.00","493.30","493.30","0.00","0.00%","-","28.04.2020","20/03","158,890,000,000","","914","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-38.99%","-35.52%","-6.04%","12.11%"
"L'Oréal SA","ORN.MX","MX","6,520.80","-","-","--","--","6,520.80","6,339.10","6,520.80","6,520.80","+0.00","+0.00%","-","16.04.2020","25/03","3.46T","","682","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","16.38%","27.42%","17.91%","29.06%","77.50%"
"Opko Health Inc","OPK.MX","MX","29.99","-","-","--","--","29.99","29.10","29.99","29.99","+0.00","+0.00%","-","12.05.2020","04/02","22,180,000,000","","5,157","-","-","-","-","-","Venta","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","","0.00%","0.00%","0.00%","1.49%","-38.80%","-80.90%"
"National Oilwell Varco Inc","NOV.MX","MX","211.20","-","-","--","--","213.00","213.26","213.00","211.20","0.00","0.00%","-","27.04.2020","18/03","91,760,000,000","","680","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-41.12%","-54.29%","-58.73%","-71.26%"
"Mtu Aero Engines Holding AG","MTXN.MX","MX","3,292.18","-","-","--","--","3,292.18","5,354.82","3,292.18","3,292.18","0.00","0.00%","-","30.04.2020","17/03","201,030,000,000","","790","-","-","-","-","-","Neutral","Neutral","Venta","Venta","Venta","Venta","Venta","Neutral","0.00%","0.00%","-38.52%","-38.52%","-21.03%","32.92%"
"Mosaic Co","MOS.MX","MX","326.00","-","-","--","--","326.00","385.00","326.00","326.00","0.00","0.00%","-","04.05.2020","05/03","87,940,000,000","","818","-","-","-","-","-","Venta","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-15.32%","-8.76%","-35.70%","-40.79%"
